Linux 3.10.0-693.47.2.el7.x86_64 (skudupud.pnq.csb) 	08/30/2019 	_x86_64_	(4 CPU)

02:32:58 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:32:58 PM 113248      3130    0.00    0.00    0.00    0.00     2  gnome-keyring-d
02:32:58 PM 113248      3142    0.00    0.00    0.00    0.00     1  gnome-session-b
02:32:58 PM 113248      3152    0.00    0.00    0.00    0.00     3  dbus-daemon
02:32:58 PM 113248      3225    0.00    0.00    0.00    0.00     0  gvfsd
02:32:58 PM     0      3326    0.00    0.00    0.00    0.00     1  kworker/u16:3
02:32:58 PM 113248      3412    0.00    0.00    0.00    0.00     2  dbus-daemon
02:32:58 PM 113248      3415    0.00    0.00    0.00    0.00     2  at-spi2-registr
02:32:58 PM 113248      3432    1.28    0.18    0.00    1.47     1  gnome-shell
02:32:58 PM 113248      3442    0.06    0.07    0.00    0.14     0  pulseaudio
02:32:58 PM 113248      3497    0.00    0.00    0.00    0.00     0  gnome-shell-cal
02:32:58 PM 113248      3498    0.00    0.00    0.00    0.00     2  ibus-daemon
02:32:58 PM 113248      3507    0.00    0.00    0.00    0.00     1  ibus-x11
02:32:58 PM 113248      3518    0.00    0.00    0.00    0.00     3  evolution-sourc
02:32:58 PM   993      3523    0.00    0.00    0.00    0.00     3  geoclue
02:32:58 PM 113248      3528    0.01    0.00    0.00    0.01     2  mission-control
02:32:58 PM 113248      3532    0.00    0.00    0.00    0.00     0  gvfs-udisks2-vo
02:32:58 PM 113248      3535    0.00    0.00    0.00    0.00     1  goa-daemon
02:32:58 PM     0      3539    0.00    0.00    0.00    0.00     0  udisksd
02:32:58 PM 113248      3552    0.00    0.00    0.00    0.00     3  goa-identity-se
02:32:58 PM 113248      3562    0.00    0.00    0.00    0.00     1  gvfs-gphoto2-vo
02:32:58 PM 113248      3567    0.00    0.00    0.00    0.00     1  gvfs-afc-volume
02:32:58 PM 113248      3574    0.00    0.00    0.00    0.00     1  gvfs-mtp-volume
02:32:58 PM 113248      3589    0.00    0.00    0.00    0.00     3  gvfs-goa-volume
02:32:58 PM 113248      3620    0.02    0.01    0.00    0.03     0  gnome-settings-
02:32:58 PM 113248      3641    0.00    0.00    0.00    0.00     0  nautilus-deskto
02:32:58 PM 113248      3642    0.00    0.00    0.00    0.00     3  seapplet
02:32:58 PM 113248      3643    0.00    0.00    0.00    0.00     0  evolution-alarm
02:32:58 PM 113248      3644    0.00    0.00    0.00    0.00     2  gnome-tweak-too
02:32:58 PM 113248      3655    0.00    0.00    0.00    0.00     1  gvfsd-trash
02:32:58 PM 113248      3754    0.00    0.00    0.00    0.00     0  gsd-printer
02:32:58 PM 113248      3800    0.00    0.00    0.00    0.00     1  evolution-calen
02:32:58 PM 113248      3804    0.00    0.00    0.00    0.00     0  dconf-service
02:32:58 PM 113248      3869    0.00    0.00    0.00    0.00     3  evolution-calen
02:32:58 PM 113248      3903    0.00    0.00    0.00    0.00     3  evolution-addre
02:32:58 PM 113248      3905    0.00    0.00    0.00    0.00     2  gvfsd-metadata
02:32:58 PM 113248      3914    0.00    0.00    0.00    0.00     1  evolution-calen
02:32:58 PM 113248      3955    0.00    0.00    0.00    0.00     0  evolution-addre
02:32:58 PM 113248      4065    0.00    0.00    0.00    0.00     2  tracker-store
02:32:58 PM 113248      4067    0.00    0.00    0.00    0.00     1  obexd
02:32:58 PM 113248      4111    0.60    0.19    0.00    0.79     3  chrome
02:32:58 PM 113248      4117    0.00    0.00    0.00    0.00     1  cat
02:32:58 PM 113248      4121    0.00    0.00    0.00    0.00     3  chrome
02:32:58 PM 113248      4129    0.00    0.00    0.00    0.00     0  chrome
02:32:58 PM 113248      4154    0.68    0.27    0.00    0.95     1  chrome
02:32:58 PM 113248      4159    0.13    0.05    0.00    0.18     3  chrome
02:32:58 PM 113248      4196    0.00    0.00    0.00    0.00     3  chrome
02:32:58 PM 113248      4245    0.08    0.01    0.00    0.09     3  chrome
02:32:58 PM 113248      4309    0.03    0.01    0.00    0.04     1  chrome
02:32:58 PM 113248      4358    0.00    0.00    0.00    0.01     0  chrome
02:32:58 PM 113248      4480    0.01    0.00    0.00    0.01     2  chrome
02:32:58 PM 113248      4493    0.37    0.02    0.00    0.39     0  chrome
02:32:58 PM 113248      4538    0.16    0.01    0.00    0.18     3  chrome
02:32:58 PM 113248      4558    0.02    0.00    0.00    0.03     1  chrome
02:32:58 PM 113248      4601    0.01    0.00    0.00    0.01     2  chrome
02:32:58 PM 113248      4640    0.01    0.00    0.00    0.01     1  chrome
02:32:58 PM 113248      4676    0.02    0.00    0.00    0.02     2  chrome
02:32:58 PM 113248      4710    0.01    0.00    0.00    0.01     1  chrome
02:32:58 PM 113248      4730    0.05    0.01    0.00    0.05     1  chrome
02:32:58 PM 113248      4732    0.02    0.00    0.00    0.02     0  chrome
02:32:58 PM 113248      4784    0.00    0.00    0.00    0.00     1  chrome
02:32:58 PM 113248      4792    0.02    0.00    0.00    0.02     2  chrome
02:32:58 PM     0      4817    0.00    0.00    0.00    0.00     2  kworker/u16:7
02:32:58 PM 113248      4835    0.01    0.00    0.00    0.01     1  chrome
02:32:58 PM 113248      4851    0.03    0.00    0.00    0.03     2  chrome
02:32:58 PM 113248      4970    0.02    0.00    0.00    0.02     3  chrome
02:32:58 PM 113248      5072    0.02    0.00    0.00    0.02     2  chrome
02:32:58 PM 113248      5696    0.00    0.00    0.00    0.00     2  chrome
02:32:58 PM 113248      5792    0.02    0.00    0.00    0.03     1  terminator
02:32:58 PM 113248      5836    0.00    0.00    0.00    0.00     2  gconfd-2
02:32:58 PM 113248      5839    0.00    0.00    0.00    0.00     0  gnome-pty-helpe
02:32:58 PM 113248      5840    0.00    0.00    0.00    0.00     3  bash
02:32:58 PM 113248      6121    0.08    0.03    0.00    0.11     0  firefox
02:32:58 PM 113248      6141    0.03    0.00    0.00    0.03     1  chrome
02:32:58 PM     0      6293    0.00    0.00    0.00    0.00     2  kworker/u16:6
02:32:58 PM 113248      6600    0.00    0.00    0.00    0.00     3  bash
02:32:58 PM 113248      7215    0.00    0.00    0.00    0.00     2  bash
02:32:58 PM 113248      7238    0.00    0.00    0.00    0.00     0  chrome
02:32:58 PM 113248      7476    0.02    0.00    0.00    0.02     0  chrome
02:32:58 PM 113248      7554    0.01    0.01    0.00    0.02     3  chrome
02:32:58 PM 113248      7624    0.19    0.02    0.00    0.21     0  chrome
02:32:58 PM 113248      8078    0.01    0.00    0.00    0.01     0  chrome
02:32:58 PM 113248      8127    0.00    0.00    0.00    0.01     2  chrome
02:32:58 PM 113248      8395    0.00    0.00    0.00    0.00     1  chrome
02:32:58 PM     0      8445    0.00    0.00    0.00    0.00     3  kworker/3:0
02:32:58 PM     0      8449    0.00    0.00    0.00    0.00     2  kworker/2:0
02:32:58 PM 113248      8552    0.00    0.00    0.00    0.00     0  chrome
02:32:58 PM 113248      8596    0.00    0.00    0.00    0.00     2  chrome
02:32:58 PM     0      8857    0.00    0.00    0.00    0.00     2  kworker/u17:3
02:32:58 PM     0      8952    0.00    0.00    0.00    0.00     3  kworker/u17:1
02:32:58 PM 113248      9004    0.18    0.06    0.00    0.24     3  atom
02:32:58 PM 113248      9007    0.00    0.00    0.00    0.00     2  atom
02:32:58 PM 113248      9029    0.04    0.02    0.00    0.06     3  atom
02:32:58 PM 113248      9056    0.05    0.00    0.00    0.05     3  chrome
02:32:58 PM 113248      9077    0.18    0.05    0.00    0.22     3  atom
02:32:58 PM     0      9132    0.00    0.00    0.00    0.00     2  usb-storage
02:32:58 PM     0      9203    0.00    0.00    0.00    0.00     0  dhclient
02:32:58 PM 113248      9258    0.00    0.00    0.00    0.00     3  atom
02:32:58 PM     0      9323    0.00    0.00    0.00    0.00     2  kworker/u16:1
02:32:58 PM    89      9582    0.00    0.00    0.00    0.00     2  pickup
02:32:58 PM 113248      9730    0.09    0.01    0.00    0.10     0  virt-manager
02:32:58 PM 113248      9755    0.15    0.02    0.00    0.17     2  chrome
02:32:58 PM 113248      9773    0.00    0.00    0.00    0.00     0  bash
